[Fri Jan 15 15:51:12.619 2016] 0.209 sec 0.209 sec [ext2/0/rel 3 (0,25)] [*] test
[Thu Jan 21 05:45:07.308 2016] 0.000 sec 0.000 sec [ext/0/rel 8 (0,25) @tag_attr] [test1] (@* test)
[Thu Jan 21 05:45:07.311 2016] 0.001 sec 0.001 sec [ext/0/rel 8 (0,15) @tag_attr] [*] (@* test)
[Thu Jan 21 05:45:16.205 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 05:45:16.210 2016] 0.003 sec 0.003 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:02:57.914 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:02:57.917 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:04:12.555 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:04:12.558 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:25:40.870 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25) @tag_attr] [test1] (@* two)
[Thu Jan 21 06:25:40.873 2016] 0.001 sec 0.001 sec [ext/0/rel 3 (0,15) @tag_attr] [*] (@* two)
[Thu Jan 21 06:37:56.715 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25) @tag_attr] [test1] (@* two)
[Thu Jan 21 06:38:27.890 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:40:23.199 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:40:23.202 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:45:26.735 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:45:26.740 2016] 0.002 sec 0.002 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:46:13.079 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:46:38.539 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:50:23.249 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:50:26.473 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:51:12.826 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:52:57.469 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:52:57.472 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:53:46.792 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:53:46.795 2016] 0.000 sec 0.000 sec x2 [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:55:55.982 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 06:55:55.986 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 06:55:55.986 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 2 (0,15) @year_attr] [*] (@* document)
[Thu Jan 21 06:56:59.329 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25) @tag_attr] [test1] (@* another)
[Thu Jan 21 06:56:59.333 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 1 (0,15) @tag_attr] [*] (@* another)
[Thu Jan 21 06:56:59.333 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 1 (0,15) @year_attr] [*] (@* another)
[Thu Jan 21 14:47:22.842 2016] 0.074 sec 0.074 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 14:47:22.866 2016] 0.010 sec 0.010 sec x2 [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 14:47:22.866 2016] 0.010 sec 0.010 sec x2 [ext/0/rel 2 (0,15) @year_attr] [*] (@* document)
[Thu Jan 21 14:58:22.942 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 14:58:22.947 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 14:58:22.947 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 2 (0,15) @year_attr] [*] (@* document)
[Thu Jan 21 15:21:15.683 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 15:21:15.687 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 15:21:15.687 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 2 (0,15) @year_attr] [*] (@* document)
[Thu Jan 21 15:32:02.705 2016] 0.000 sec 0.000 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Thu Jan 21 15:32:02.710 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 15:32:02.710 2016] 0.001 sec 0.001 sec x2 [ext/0/rel 2 (0,15) @year_attr] [*] (@* document)
[Thu Jan 21 15:37:03.797 2016] 0.002 sec 0.002 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Thu Jan 21 15:37:16.727 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Fri Jan 22 11:09:49.216 2016] 0.034 sec 0.034 sec [ext/0/rel 7 (0,25) @tag_attr] [test1] (@* document)
[Fri Jan 22 11:09:49.219 2016] 0.001 sec 0.001 sec [ext/0/rel 7 (0,15) @tag_attr] [*] (@* document)
[Fri Jan 22 17:47:14.344 2016] 0.037 sec 0.037 sec [ext/1/rel 4 (0,25) @tag_attr] [test1] document
[Fri Jan 22 19:45:20.831 2016] 0.009 sec 0.009 sec [ext/1/rel 4 (0,25) @tag_attr] [test1] document
[Fri Jan 22 19:45:20.845 2016] 0.000 sec 0.000 sec [ext/1/rel 4 (0,25) @tag_attr] [test1] document
[Fri Jan 22 19:46:40.694 2016] 0.000 sec 0.000 sec [ext/1/rel 4 (0,25) @tag_attr] [test1] document
[Fri Jan 22 19:46:40.696 2016] 0.000 sec 0.000 sec [ext/1/rel 4 (0,25) @tag_attr] [test1] (@* document)
[Fri Jan 22 19:46:40.699 2016] 0.001 sec 0.001 sec [ext/1/rel 4 (0,15) @tag_attr] [*] (@* document)
[Fri Jan 22 19:51:23.367 2016] 0.001 sec 0.001 sec [ext/1/rel 4 (0,25) @tag_attr] [test1] (@* document)
[Fri Jan 22 19:51:23.371 2016] 0.001 sec 0.001 sec x2 [ext/1/rel 4 (0,15) @tag_attr] [*] (@* document)
[Fri Jan 22 19:51:23.371 2016] 0.001 sec 0.001 sec x2 [ext/1/rel 1 (0,15) @year_attr] [*] (@* document)
